ID,분류,우선순위,제목,사전조건,재현 스텝,기대 결과,검증 방법
TC-001,무기 수치,P1,마력 화살 Lv1 실효 스탯 검증,마력 화살 Lv1 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=10, cooldown=0.55, count=1, speed=430, range=240",AUTO
TC-002,무기 수치,P1,마력 화살 Lv2 실효 스탯 검증,마력 화살 Lv2 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=14, cooldown=0.5, count=1.5, speed=450, range=262",AUTO
TC-003,무기 수치,P1,마력 화살 Lv3 실효 스탯 검증,마력 화살 Lv3 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=18, cooldown=0.45, count=2, speed=470, range=284",AUTO
TC-004,무기 수치,P1,마력 화살 Lv4 실효 스탯 검증,마력 화살 Lv4 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=22, cooldown=0.4, count=2.5, speed=490, range=306",AUTO
TC-005,무기 수치,P1,마력 화살 Lv5 실효 스탯 검증,마력 화살 Lv5 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=26, cooldown=0.35, count=3, speed=510, range=328",AUTO
TC-006,무기 기능,P1,마력 화살 최대 레벨(5) 초과 업그레이드 미노출,마력 화살 Lv5 보유,레벨업 3회 반복하며 선택지 확인,마력 화살 카드가 선택지에 등장하지 않음,MANUAL
TC-007,무기 수치,P1,마력 오라 Lv1 실효 스탯 검증,마력 오라 Lv1 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=5, tick=0.5, radius=80, slow=0.1",AUTO
TC-008,무기 수치,P1,마력 오라 Lv2 실효 스탯 검증,마력 오라 Lv2 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=7, tick=0.46, radius=96, slow=0.12",AUTO
TC-009,무기 수치,P1,마력 오라 Lv3 실효 스탯 검증,마력 오라 Lv3 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=9, tick=0.42, radius=112, slow=0.14",AUTO
TC-010,무기 수치,P1,마력 오라 Lv4 실효 스탯 검증,마력 오라 Lv4 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=11, tick=0.38, radius=128, slow=0.16",AUTO
TC-011,무기 수치,P1,마력 오라 Lv5 실효 스탯 검증,마력 오라 Lv5 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=13, tick=0.34, radius=144, slow=0.18",AUTO
TC-012,무기 기능,P1,마력 오라 최대 레벨(5) 초과 업그레이드 미노출,마력 오라 Lv5 보유,레벨업 3회 반복하며 선택지 확인,마력 오라 카드가 선택지에 등장하지 않음,MANUAL
TC-013,무기 수치,P1,월아 참격 Lv1 실효 스탯 검증,월아 참격 Lv1 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=10, cooldown=0.45, range=118, arcDeg=90",AUTO
TC-014,무기 수치,P1,월아 참격 Lv2 실효 스탯 검증,월아 참격 Lv2 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=14, cooldown=0.41, range=128, arcDeg=97",AUTO
TC-015,무기 수치,P1,월아 참격 Lv3 실효 스탯 검증,월아 참격 Lv3 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=18, cooldown=0.37, range=138, arcDeg=104",AUTO
TC-016,무기 수치,P1,월아 참격 Lv4 실효 스탯 검증,월아 참격 Lv4 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=22, cooldown=0.33, range=148, arcDeg=111",AUTO
TC-017,무기 수치,P1,월아 참격 Lv5 실효 스탯 검증,월아 참격 Lv5 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=26, cooldown=0.29, range=158, arcDeg=118",AUTO
TC-018,무기 기능,P1,월아 참격 최대 레벨(5) 초과 업그레이드 미노출,월아 참격 Lv5 보유,레벨업 3회 반복하며 선택지 확인,월아 참격 카드가 선택지에 등장하지 않음,MANUAL
TC-019,적 스폰,P1,추격자(chaser) 최초 등장 시점 검증,보통 난이도 새 게임,생존 타이머 0초 전후 스폰 관찰,"0초 이전 미등장, 이후 등장. HP 22, 접촉 피해 8",MANUAL
TC-020,적 스폰,P1,질주자(runner) 최초 등장 시점 검증,보통 난이도 새 게임,생존 타이머 35초 전후 스폰 관찰,"35초 이전 미등장, 이후 등장. HP 11, 접촉 피해 5",MANUAL
TC-021,적 스폰,P1,거수(tank) 최초 등장 시점 검증,보통 난이도 새 게임,생존 타이머 80초 전후 스폰 관찰,"80초 이전 미등장, 이후 등장. HP 58, 접촉 피해 13",MANUAL
TC-022,난이도 배율,P1,"""보통"" 배율 적용 검증","""보통"" 새 게임",초반 적 처치 소요 타격 수 / 피격 피해량 측정,"적 HP ×1.0, 적 피해 ×0.6, 점수 ×1.0",MANUAL
TC-023,난이도 해금,P0,"""어려움"" 해금 조건 검증",클리어 기록 없는 새 브라우저 프로필,"1) 잠금 상태 확인 2) ""보통"" 보스 처치(클리어) 3) 로비 복귀","클리어 전 선택 불가, ""보통"" 클리어 후 즉시 해금",MANUAL
TC-024,난이도 배율,P1,"""어려움"" 배율 적용 검증","""어려움"" 새 게임",초반 적 처치 소요 타격 수 / 피격 피해량 측정,"적 HP ×1.45, 적 피해 ×0.85, 점수 ×1.5",MANUAL
TC-025,난이도 해금,P0,"""매우 어려움"" 해금 조건 검증",클리어 기록 없는 새 브라우저 프로필,"1) 잠금 상태 확인 2) ""어려움"" 보스 처치(클리어) 3) 로비 복귀","클리어 전 선택 불가, ""어려움"" 클리어 후 즉시 해금",MANUAL
TC-026,난이도 배율,P1,"""매우 어려움"" 배율 적용 검증","""매우 어려움"" 새 게임",초반 적 처치 소요 타격 수 / 피격 피해량 측정,"적 HP ×2.4, 적 피해 ×1.9, 점수 ×2.0",MANUAL
TC-027,그래픽,P1,플레이어 파손 스프라이트 조종사 유지 (v0.8 회귀),게임 진행 중,피격으로 HP를 50% 이하 → 25% 이하로 단계적으로 감소시키며 관찰,3단계 파손 상태 모두 조종사 리소스가 표시됨 (BUG-001 회귀 검증),MANUAL
TC-028,그래픽,P2,바닥 타일 패턴 정합성,게임 진행 중,대시 연타로 월드를 빠르게 이동하며 바닥 관찰,"타일 이음새 어긋남/밀림 없음, 월드 좌표에 패턴 고정",MANUAL
TC-029,그래픽,P2,에셋 로딩 실패 폴백,assets/img/floor.png 삭제 후 실행,functional.spec.js F-07 — 게임 시작 후 배경 관찰,크래시 없이 그리드 렌더링으로 자동 폴백,AUTO
TC-030,사운드,P1,BGM 시작·음소거 연동,페이지 새로 로드,1) 로드 직후 BGM 미재생 확인 2) 게임 시작 클릭 3) M키 토글 2회,"시작 클릭 시점에 재생 시작(자동재생 정책 준수), M키로 BGM+효과음 동시 음소거/해제",MANUAL
TC-031,사운드,P2,탭 전환 시 BGM 일시정지,BGM 재생 중,다른 탭으로 전환 후 3초 뒤 복귀,"이탈 시 일시정지, 복귀 시 재개 (음소거 상태면 재개 안 함)",MANUAL
TC-032,무기,P1,부메랑 왕복 2히트,"마력 화살 Lv1, 적 1기 유인",적 방향으로 부메랑 발사 후 데미지 텍스트 관찰,"나갈 때 1회 + 돌아올 때 1회, 같은 적에게 최대 2회 타격",MANUAL
TC-033,무기,P1,부메랑 회수 보장,마력 화살 보유,부메랑 발사 직후 대시로 크게 이동 반복 (10회),"모든 부메랑이 플레이어에게 귀환·소멸, 맵에 잔류 개체 없음",MANUAL
TC-034,무기,P1,월아 참격 Lv4 후방 베기,월아 참격 Lv4 이상,앞뒤로 적을 두고 정지 상태 유지,"전방·후방 부채꼴 동시 타격, 이펙트 2개 표시",MANUAL
TC-035,UI 플로우,P0,일시정지 → 로비 복귀,게임 진행 중,1) P키 일시정지 2) '로비로 나가기' 클릭 3) 새 게임 시작,"로비 정상 표시(난이도/리더보드 갱신), 포기한 판 점수 미등록, 새 게임 정상 시작",MANUAL
TC-036,UI 플로우,P1,일시정지 상태 보존,게임 진행 중,functional.spec.js F-05 — P키 일시정지 5초 유지 후 재개,"일시정지 중 적/투사체/타이머 완전 정지, 재개 시 이어서 진행",AUTO
TC-037,시길,P1,제스처 인식 정확도 스팟 체크,시길 게이지 충전,원/번개/V/직선 각 5회씩 드로잉,"각 도형 인식률 80% 이상, 오인식 시 유사 도형 매칭 없음",MANUAL
TC-038,리더보드,P1,점수 등록 및 난이도 배지,게임 오버 도달,"닉네임 입력 후 등록, 로비 TOP5 확인","점수·난이도 배지 정상 표시, 중복 등록 방지",MANUAL
TC-039,아이템,P1,자석 드랍·진공 흡수 (v0.9 신규),게임 진행 중,functional.spec.js F-06 — 일반 몹을 다수 처치해 자석 드랍 유도 → 획득 → 필드 젬 관찰,"필드 전체 젬이 고속으로 흡수됨. 자석은 필드에 동시 1개만 존재, 12초 미획득 시 소멸(만료 3초 전 깜빡임)",AUTO
TC-040,무기,P1,마력 오라 상시 피해·감속 (v0.9 신규),마력 오라 보유,적을 오라 범위 경계 안팎으로 유지하며 피해 간격과 이동 속도 관찰,"범위 내에서만 틱 간격 지속 피해 + 이동 감속, 레벨업 시 반경 증가 체감",MANUAL
TC-041,UI/도감,P1,도감 미발견 슬롯 균일 표시 (BUG-002 회귀),발견 기록 없는 새 브라우저 프로필,functional.spec.js F-03 — 로비 → 시길 도감 진입 → 20칸 전체 관찰,"모든 미발견 슬롯이 동일한 ? 상태로 표시, 시길 존재 슬롯의 배경 구분 없음",AUTO
TC-042,UI/도감,P2,시길 문양 힌트 (v0.9.1 신규),미발견 시길 존재,functional.spec.js F-03 — 도감에서 ? 슬롯 클릭 → 표시 내용과 2.6초 후 상태 관찰,"문양 궤적만 표시(이름·효과 비노출), 자동으로 ? 복귀, 빈 슬롯(시길 미정의)은 무반응",AUTO
TC-043,시길,P1,시길 인식률 자동 검증 (BUG-003 회귀),Node.js 환경,node recognition_rig.js game/index.html 실행,"합성 제스처 500회 기준 bolt/vee/circle ≥90%, line ≥95%, 상호 오인식 ≤2% — 미달 시 exit 1",AUTO
TC-044,시길,P0,시길 드로잉 E2E — 4종 발동 + 불발 페널티,테스트 모드(?test=1),functional.spec.js F-01/F-02 — 마우스 제스처 합성으로 도형 4종 + 낙서 입력,"4종 각각 효과 발동·게이지 정확 소모·도감 등록, 낙서는 정확히 -10 및 미등록",AUTO
TC-045,난이도,P0,난이도 해금 자동 검증,테스트 모드,functional.spec.js F-04 — 클리어 기록(localStorage) 시나리오별 버튼 상태,기록 없음: 보통만 활성 / 보통 클리어: 어려움 해금·매우 어려움 잠금,AUTO
TC-046,에셋,P1,에셋 규격 계약 검증 (BUG-001 회귀),테스트 모드,functional.spec.js F-08 — 플레이어 상태별 스프라이트 3종 치수 비교,정상/파손1/파손2 스프라이트의 폭·높이 완전 일치,AUTO
TC-047,시길,P1,회생(하트) 효과 검증 (v0.9.4 신규),HP 손실 상태 + 게이지 85 이상,E키 → 하트 드로잉 → HP/보호막/게이지 관찰. 만피 상태에서도 시전해 초과분 보호막 전환(Lv2+) 확인,"HP 100% 회복, 게이지 -85, 회복량 텍스트 표시. Lv2+에서 초과 회복분이 보호막으로 전환",MANUAL
TC-048,시길,P1,성광(별) 파워업·반짝임 검증 (v0.9.4 신규),게이지 60 이상,"E키 → 별 드로잉 → 피해량 텍스트·이동속도·플레이어 주변 이펙트 관찰, 지속시간 종료까지 대기","지속시간 동안 모든 피해 증가(+25%~), 이속 증가, 궤도 스파클 이펙트 표시. 종료 시 원상복구",MANUAL
